2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 91)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 110)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 111)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 112)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 113)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 114)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 115)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 116)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 117)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 118)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 119)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 120)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 121)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 122)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 123)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 124)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 125)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 126)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 127)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 128)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 129)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 130)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 131)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 132)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 133)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 134)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 135)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 136)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 137)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 138)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 139)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 140)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 141)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 142)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 143)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 144)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 145)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 146)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 147)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 148)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 149)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 150)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 151)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 152)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 153)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 154)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 155)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 156)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 157)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 158)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 159)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 160)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 161)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 162)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 163)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 164)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 165)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 166)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 167)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 168)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 169)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 170)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 171)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 172)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 173)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 174)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 175)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 176)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 177)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 178)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 179)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 180)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 181)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 182)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 183)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 184)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 185)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 186)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 187)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 188)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 189)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 190)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 191)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 192)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 193)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 194)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 195)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 196)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 197)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (20, 198)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado SUBE en (20, 199)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, -1)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 0)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 1)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 2)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 3)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 4)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 5)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 6)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 7)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 8)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 9)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 10)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 11)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 12)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 13)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 14)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 15)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 16)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 17)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 18)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 19)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 20)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 21)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 22)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 23)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 24)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 25)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 26)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 27)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 28)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 29)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 30)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 31)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 32)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 33)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 34)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 35)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 36)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 37)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 38)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 39)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 40)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 41)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 42)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 43)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 44)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 45)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 46)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 47)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 48)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 49)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 50)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 51)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 52)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 53)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 54)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 55)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 56)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 57)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 58)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 59)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 60)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 61)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 62)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 63)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 64)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 65)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 66)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 67)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 68)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 69)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 70)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 71)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 72)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 73)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 74)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 75)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 76)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 77)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 78)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 79)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 80)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 81)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 82)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 83)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 84)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 85)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 86)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 87)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 88)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 89)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 90)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 91)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 92)
2026-04-26 21:52:42 | DEBUG    | domain.services.polygon_analysis_service | _ejecutar_maquina_de_estados | estado BUSCAR en (21, 93)
